# Hobyah source file, "ok-022-sectype-changes-verification.txt"
# Timestamp & user, "20:00 on 6 Aug 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 198th line, profile ptot  calc  Mainline2@3000 lw:=1 "{/*0.8Backwards airflow}"
# Data file name, "ok-022-sectype-changes-verification-p1-g2-c2.txt"
#
# Hobyah profile (transient data) QA
# Name of binary, "ok-022-sectype-changes-verification.hbn"
# Source name, "ok-022-sectype-changes-verification.txt"
# Project no., "4"
# Project name, "Hobyah documentation images"
# Description, "Files that generate images used in the documentation"
# Date created, "20:00 on 6 Aug 2024 by ecb"
# Property plotted, ptot
# Property description, total pressure
# Original locator, Mainline2@3000
# Modified locator, Mainline2@3000.0
# Plot time wanted, 3000.0
# Plot time used, 3000.0
#
# X conversion key, "dist1", converting m to FT by dividing by 0.3048
# Y conversion key, "press1", converting Pa to IWG by dividing by 249.08853408
# Auto key, Total pressure along tunnel "mainline2" at 3000 sec
# Key used, "{/*0.65 Total pressure along tunnel \"mainline2\" at 3000 sec}"
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Distance,  Value,  Distance,  Value,  Plot Distance,  Plot value
 (m),   (Pa),   (ft),   (IWG),   (m),   (Pa),  Location
0.0,    10.29413792725245,    0.0,    0.041327225138136116,    0.0,    10.29413792725245,    # mainline2@0.0
36.58536585365854,    10.503480751649477,    120.03072786633378,    0.04216766054866285,    36.58536585365854,    10.503480751649477,    # mainline2@36.58536585365854
73.17073170731707,    10.712823266992928,    240.06145573266755,    0.04300809471845172,    73.17073170731707,    10.712823266992928,    # mainline2@73.17073170731707
109.7560975609756,    10.922165473355562,    360.0921835990013,    0.04384852764779482,    109.7560975609756,    10.922165473355562,    # mainline2@109.7560975609756
146.34146341463415,    11.131507370766485,    480.1229114653351,    0.04468895933680901,    146.34146341463415,    11.131507370766485,    # mainline2@146.34146341463415
182.9268292682927,    11.340848959225696,    600.153639331669,    0.045529389785494284,    182.9268292682927,    11.340848959225696,    # mainline2@182.9268292682927
219.5121951219512,    11.55019023855857,    720.1843671980026,    0.046369818993149584,    219.5121951219512,    11.55019023855857,    # mainline2@219.5121951219512
256.0975609756098,    11.759531209027045,    840.2150950643365,    0.04721024696082649,    256.0975609756098,    11.759531209027045,    # mainline2@256.0975609756098
292.6829268292683,    11.96887187018001,    960.2458229306702,    0.048050673686713966,    292.6829268292683,    11.96887187018001,    # mainline2@292.6829268292683
329.2682926829268,    12.17821222243947,    1080.276550797004,    0.0488910991725062,    329.2682926829268,    12.17821222243947,    # mainline2@329.2682926829268
365.8536585365854,    12.38755226554349,    1200.307278663338,    0.049731523417151625,    365.8536585365854,    12.38755226554349,    # mainline2@365.8536585365854
402.4390243902439,    12.596891999768559,    1320.3380065296715,    0.05057194642176024,    402.4390243902439,    12.596891999768559,    # mainline2@402.4390243902439
439.0243902439024,    12.806231425129226,    1440.3687343960053,    0.05141236818639046,    439.0243902439024,    12.806231425129226,    # mainline2@439.0243902439024
475.609756097561,    13.015570541436318,    1560.399462262339,    0.05225278871028281,    475.609756097561,    13.015570541436318,    # mainline2@475.609756097561
512.1951219512196,    13.224909348413348,    1680.430190128673,    0.05309320799232731,    512.1951219512196,    13.224909348413348,    # mainline2@512.1951219512196
548.780487804878,    13.434247846482322,    1800.4609179950066,    0.05393362603421815,    548.780487804878,    13.434247846482322,    # mainline2@548.780487804878
585.3658536585366,    13.64358603565779,    1920.4916458613404,    0.05477404283601375,    585.3658536585366,    13.64358603565779,    # mainline2@585.3658536585366
621.9512195121952,    13.852923915706924,    2040.5223737276742,    0.055614458396779386,    621.9512195121952,    13.852923915706924,    # mainline2@621.9512195121952
658.5365853658536,    14.06226148661517,    2160.553101594008,    0.05645487271645664,    658.5365853658536,    14.06226148661517,    # mainline2@658.5365853658536
695.1219512195122,    14.271598748979159,    2280.583829460342,    0.05729528579744075,    695.1219512195122,    14.271598748979159,    # mainline2@695.1219512195122
731.7073170731708,    14.480935702100396,    2400.614557326676,    0.058135697636927525,    731.7073170731708,    14.480935702100396,    # mainline2@731.7073170731708
768.2926829268292,    14.690272346226266,    2520.645285193009,    0.05897610823591012,    768.2926829268292,    14.690272346226266,    # mainline2@768.2926829268292
804.8780487804878,    14.899608681400423,    2640.676013059343,    0.059816517594563794,    804.8780487804878,    14.899608681400423,    # mainline2@804.8780487804878
841.4634146341464,    15.10894470740459,    2760.706740925677,    0.06065692571201224,    841.4634146341464,    15.10894470740459,    # mainline2@841.4634146341464
878.0487804878048,    15.318280424413388,    2880.7374687920105,    0.06149733258895651,    878.0487804878048,    15.318280424413388,    # mainline2@878.0487804878048
914.6341463414634,    15.527615832703304,    3000.7681966583446,    0.06233773822650659,    914.6341463414634,    15.527615832703304,    # mainline2@914.6341463414634
951.219512195122,    15.736950931648607,    3120.798924524678,    0.0631781426221504,    951.219512195122,    15.736950931648607,    # mainline2@951.219512195122
987.8048780487806,    15.946285721802269,    3240.829652391012,    0.0640185457781079,    987.8048780487806,    15.946285721802269,    # mainline2@987.8048780487806
1024.3902439024391,    16.155620202727732,    3360.860380257346,    0.0648589476926265,    1024.3902439024391,    16.155620202727732,    # mainline2@1024.3902439024391
1060.9756097560976,    16.364954375007073,    3480.8911081236797,    0.06569934836804302,    1060.9756097560976,    16.364954375007073,    # mainline2@1060.9756097560976
