# Hobyah source file, "ok-022-sectype-changes.txt"
# Timestamp & user, "10:40 on 27 Apr 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 199th line, profile ptot  calc  Mainline1@3000 lw:=1 "{/*0.8Forwards airflow}"
# Data file name, "ok-022-sectype-changes-p1-g2-c1.txt"
#
# Hobyah profile (transient data) QA
# Name of binary, "ok-022-sectype-changes.hbn"
# Source name, "ok-022-sectype-changes.txt"
# Project no., "4"
# Project name, "Hobyah documentation images"
# Description, "Files that generate images used in the documentation"
# Date created, "10:40 on 27 Apr 2024 by ecb"
# Property plotted, ptot
# Property description, total pressure
# Original locator, Mainline1@3000
# Modified locator, Mainline1@3000.0
# Plot time wanted, 3000.0
# Plot time used, 3000.0
#
# X conversion key, "dist1", converting m to FT by dividing by 0.3048
# Y conversion key, "press1", converting Pa to IWG by dividing by 249.08853408
# Auto key, Total pressure along tunnel "mainline1" at 3000 sec
# Key used, "{/*0.65 Total pressure along tunnel \"mainline1\" at 3000 sec}"
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Distance,  Value,  Distance,  Value,  Plot Distance,  Plot value
 (m),   (Pa),   (ft),   (IWG),   (m),   (Pa),  Location
0.0,    10.159335052667302,    0.0,    0.04078604055457816,    0.0,    10.159335052667302,    # mainline1@0.0
36.58536585365854,    9.990015872986987,    120.03072786633378,    0.04010628554174431,    36.58536585365854,    9.990015872986987,    # mainline1@36.58536585365854
73.17073170731707,    9.820696491064155,    240.06145573266755,    0.0394265297169802,    73.17073170731707,    9.820696491064155,    # mainline1@73.17073170731707
109.7560975609756,    9.651376907087979,    360.0921835990013,    0.0387467730810453,    109.7560975609756,    9.651376907087979,    # mainline1@109.7560975609756
146.34146341463415,    9.482057121334947,    480.1229114653351,    0.038067015635049606,    146.34146341463415,    9.482057121334947,    # mainline1@146.34146341463415
182.9268292682927,    9.312737133004703,    600.153639331669,    0.037387257375779984,    182.9268292682927,    9.312737133004703,    # mainline1@182.9268292682927
219.5121951219512,    9.143416942795739,    720.1843671980026,    0.03670749830604061,    219.5121951219512,    9.143416942795739,    # mainline1@219.5121951219512
256.0975609756098,    8.974096550038666,    840.2150950643365,    0.03602773842314415,    256.0975609756098,    8.974096550038666,    # mainline1@256.0975609756098
292.6829268292683,    8.804775955330115,    960.2458229306702,    0.03534797772948584,    292.6829268292683,    8.804775955330115,    # mainline1@292.6829268292683
329.2682926829268,    8.635455158422701,    1080.276550797004,    0.03466821622407254,    329.2682926829268,    8.635455158422701,    # mainline1@329.2682926829268
365.8536585365854,    8.466134159141802,    1200.307278663338,    0.03398845390620319,    365.8536585365854,    8.466134159141802,    # mainline1@365.8536585365854
402.4390243902439,    8.296812957923976,    1320.3380065296715,    0.03330869077763042,    402.4390243902439,    8.296812957923976,    # mainline1@402.4390243902439
439.0243902439024,    8.127491554492735,    1440.3687343960053,    0.03262892683724423,    439.0243902439024,    8.127491554492735,    # mainline1@439.0243902439024
475.609756097561,    7.958169948818977,    1560.399462262339,    0.03194916208492778,    475.609756097561,    7.958169948818977,    # mainline1@475.609756097561
512.1951219512196,    7.788848140946357,    1680.430190128673,    0.031269396520856335,    512.1951219512196,    7.788848140946357,    # mainline1@512.1951219512196
548.780487804878,    7.619526131020393,    1800.4609179950066,    0.0305896301456141,    548.780487804878,    7.619526131020393,    # mainline1@548.780487804878
585.3658536585366,    7.450203918881016,    1920.4916458613404,    0.02990986295855845,    585.3658536585366,    7.450203918881016,    # mainline1@585.3658536585366
621.9512195121952,    7.280881504673744,    2040.5223737276742,    0.029230094960273588,    621.9512195121952,    7.280881504673744,    # mainline1@621.9512195121952
658.5365853658536,    7.1115588882239535,    2160.553101594008,    0.028550326150058467,    658.5365853658536,    7.1115588882239535,    # mainline1@658.5365853658536
695.1219512195122,    6.942236069604405,    2280.583829460342,    0.027870556528205193,    695.1219512195122,    6.942236069604405,    # mainline1@695.1219512195122
731.7073170731708,    6.772913048931514,    2400.614557326676,    0.02719078609518113,    731.7073170731708,    6.772913048931514,    # mainline1@731.7073170731708
768.2926829268292,    6.603589826016105,    2520.645285193009,    0.0265110148502268,    768.2926829268292,    6.603589826016105,    # mainline1@768.2926829268292
804.8780487804878,    6.434266400785418,    2640.676013059343,    0.025831242793050116,    804.8780487804878,    6.434266400785418,    # mainline1@804.8780487804878
841.4634146341464,    6.264942773457733,    2760.706740925677,    0.02515146992452738,    841.4634146341464,    6.264942773457733,    # mainline1@841.4634146341464
878.0487804878048,    6.0956189441349125,    2880.7374687920105,    0.024471696245067533,    878.0487804878048,    6.0956189441349125,    # mainline1@878.0487804878048
914.6341463414634,    5.926294912715093,    3000.7681966583446,    0.02379192175426164,    914.6341463414634,    5.926294912715093,    # mainline1@914.6341463414634
951.219512195122,    5.756970678979997,    3120.798924524678,    0.02311214645123338,    951.219512195122,    5.756970678979997,    # mainline1@951.219512195122
987.8048780487806,    5.587646243002382,    3240.829652391012,    0.022432370336274862,    987.8048780487806,    5.587646243002382,    # mainline1@987.8048780487806
1024.3902439024391,    5.418321604520315,    3360.860380257346,    0.021752593408334516,    1024.3902439024391,    5.418321604520315,    # mainline1@1024.3902439024391
1060.9756097560976,    5.248996764188632,    3480.8911081236797,    0.021072815670041267,    1060.9756097560976,    5.248996764188632,    # mainline1@1060.9756097560976
