# Hobyah source file, "ok-022-sectype-changes-verification.txt"
# Timestamp & user, "20:00 on 6 Aug 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 186th line, transient velocity  calc  Mainline1@0 lw:=1 "{/*0.8Forwards airflow}"
# Data file name, "ok-022-sectype-changes-verification-p1-g1-c1.txt"
#
# Hobyah transient QA
# Name of binary, "ok-022-sectype-changes-verification.hbn"
# Source name, "ok-022-sectype-changes-verification.txt"
# Project no., "4"
# Project name, "Hobyah documentation images"
# Description, "Files that generate images used in the documentation"
# Date created, "20:00 on 6 Aug 2024 by ecb"
# Property plotted, velocity
# Property description, air velocity
# Original locator, Mainline1@0
# Modified locator, (0, 0.0)
#
#
#
# X conversion key, null, 1.0
# Y conversion key, "speed1", converting m/s to FPM by dividing by 0.00508
# Auto key, Air velocity in tunnel "mainline1" at 0 m
# Key used, "{/*0.65 Air velocity in tunnel \"mainline1\" at 0 m}"
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Time,  Value,  Value,  Plot time,  Plot value
 (s) ,  (m/s),  (FPM),     (s)   ,   (m/s)
0.0,    0.0,    0.0,    0.0,    0.0
0.1,    0.04845851444144956,    9.539077645954636,    0.1,    0.04845851444144956
0.2,    0.04845851978370518,    9.53907869757976,    0.2,    0.04845851978370518
0.3,    0.04845839280460773,    9.539053701694435,    0.3,    0.04845839280460773
0.4,    0.04845836999093971,    9.539049210814904,    0.4,    0.04845836999093971
0.5,    0.04845826119347948,    9.539027793992023,    0.5,    0.04845826119347948
0.6,    0.04845822248127905,    9.539020173480127,    0.6,    0.04845822248127905
0.7,    0.04845812670197355,    9.539001319286132,    0.7,    0.04845812670197355
0.8,    0.04845807685749091,    9.5389915073801,    0.8,    0.04845807685749091
0.9,    0.048457990104169894,    9.538974429954703,    0.9,    0.048457990104169894
1.0,    0.04845793255621979,    9.538963101618068,    1.0,    0.04845793255621979
1.1,    0.04845785195989785,    9.538947236200364,    1.1,    0.04845785195989785
1.2,    0.04845778916436991,    9.538934874875965,    1.2,    0.04845778916436991
1.3,    0.04845771268556373,    9.53891981999286,    1.3,    0.04845771268556373
1.4,    0.048457646384724315,    9.538906768646518,    1.4,    0.048457646384724315
1.5,    0.04845757258943189,    9.538892242014152,    1.5,    0.04845757258943189
1.6,    0.048457504000854884,    9.538878740325764,    1.6,    0.048457504000854884
1.7,    0.048457431897492985,    9.538864546750586,    1.7,    0.048457431897492985
1.8,    0.04845736186139931,    9.538850760117974,    1.8,    0.04845736186139931
1.9,    0.04845729077273029,    9.53883676628549,    1.9,    0.04845729077273029
2.0,    0.04845721986196401,    9.53882280747323,    2.0,    0.04845721986196401
2.1,    0.04845714933520631,    9.53880892425321,    2.1,    0.04845714933520631
2.2,    0.048457077928610356,    9.538794867836684,    2.2,    0.048457077928610356
2.3,    0.048457007670695905,    9.538781037538563,    2.3,    0.048457007670695905
2.4,    0.048456936013440755,    9.538766931779676,    2.4,    0.048456936013440755
2.5,    0.048456865840719364,    9.538753118251842,    2.5,    0.048456865840719364
2.6,    0.048456794086907604,    9.538738993485747,    2.6,    0.048456794086907604
2.7,    0.048456723888863115,    9.538725174973054,    2.7,    0.048456723888863115
2.8,    0.048456652128505515,    9.538711048918408,    2.8,    0.048456652128505515
2.9,    0.04845658184455761,    9.538697213495592,    2.9,    0.04845658184455761
3.0,    0.04845651012809384,    9.538683096081465,    3.0,    0.04845651012809384
3.1,    0.04845643972977145,    9.538669238143985,    3.1,    0.04845643972977145
3.2,    0.048456368080743245,    9.538655134004575,    3.2,    0.048456368080743245
3.3,    0.04845629756006868,    9.538641251982023,    3.3,    0.04845629756006868
3.4,    0.04845622598499119,    9.538627162399841,    3.4,    0.04845622598499119
3.5,    0.04845615534628681,    9.538613257143073,    3.5,    0.04845615534628681
3.6,    0.048456083841295204,    9.538599181357323,    3.6,    0.048456083841295204
3.7,    0.048456013093497986,    9.538585254625588,    3.7,    0.048456013093497986
3.8,    0.04845594165273199,    9.538571191482674,    3.8,    0.04845594165273199
3.9,    0.04845587080884905,    9.538557245836426,    3.9,    0.04845587080884905
4.0,    0.04845579942179185,    9.538543193266111,    4.0,    0.04845579942179185
4.1,    0.048455728495599884,    9.5385292314173,    4.1,    0.048455728495599884
4.2,    0.0484556571506497,    9.538515187135767,    4.2,    0.0484556571506497
4.3,    0.04845558615572251,    9.5385012117564,    4.3,    0.04845558615572251
4.4,    0.048455514844101474,    9.538487174035723,    4.4,    0.048455514844101474
4.5,    0.048455443791379886,    9.538473187279504,    4.5,    0.048455443791379886
4.6,    0.04845537250328481,    9.538459154189923,    4.6,    0.04845537250328481
4.7,    0.048455301405224416,    9.538445158508743,    4.7,    0.048455301405224416
4.8,    0.04845523013407708,    9.53843112875533,    4.8,    0.04845523013407708
4.9,    0.04845515899801414,    9.538417125593334,    4.9,    0.04845515899801414
5.0,    0.048455087737180456,    9.538403097870168,    5.0,    0.048455087737180456
5.1,    0.04845501656875365,    9.538389088337333,    5.1,    0.04845501656875365
5.2,    0.04845494531410233,    9.538375061831166,    5.2,    0.04845494531410233
5.3,    0.04845487412056157,    9.53836104735464,    5.3,    0.04845487412056157
5.4,    0.04845480286822824,    9.538347021304771,    5.4,    0.04845480286822824
5.5,    0.04845473165448071,    9.538333002850532,    5.5,    0.04845473165448071
5.6,    0.04845466040155561,    9.538318976684176,    5.6,    0.04845466040155561
5.7,    0.04845458917089285,    9.538304954900166,    5.7,    0.04845458917089285
5.8,    0.048454517914626426,    9.538290928076067,    5.8,    0.048454517914626426
5.9,    0.04845444667084298,    9.538276903709248,    5.9,    0.04845444667084298
6.0,    0.048454375410443,    9.538262876071457,    6.0,    0.048454375410443
6.1,    0.04845430415404668,    9.538248849221787,    6.1,    0.04845430415404668
6.2,    0.048454232888423286,    9.538234820555765,    6.2,    0.048454232888423286
6.3,    0.04845416162212524,    9.538220791756936,    6.3,    0.04845416162212524
6.4,    0.04845409035064574,    9.538206761938136,    6.4,    0.04845409035064574
6.5,    0.04845401907592491,    9.538192731481281,    6.5,    0.04845401907592491
6.6,    0.0484539477996432,    9.538178700717165,    6.6,    0.0484539477996432
6.7,    0.04845387651636959,    9.538164668576691,    6.7,    0.04845387651636959
6.8,    0.04845380523297923,    9.538150636413233,    6.8,    0.04845380523297923
6.9,    0.04845373394375551,    9.538136603101478,    6.9,    0.04845373394375551
7.0,    0.04845366265476354,    9.538122569835341,    7.0,    0.04845366265476354
7.1,    0.04845359135926796,    9.538108535288968,    7.1,    0.04845359135926796
