# Hobyah source file, "ok-022-sectype-changes-verification.txt"
# Timestamp & user, "20:00 on 6 Aug 2024 by ecb"
# Project number, "4"
# Project name, "Hobyah documentation images"
# Project description, "Files that generate images used in the documentation"
# 197th line, profile ptot  calc  Mainline1@3000 lw:=1 "{/*0.8Forwards airflow}"
# Data file name, "ok-022-sectype-changes-verification-p1-g2-c1.txt"
#
# Hobyah profile (transient data) QA
# Name of binary, "ok-022-sectype-changes-verification.hbn"
# Source name, "ok-022-sectype-changes-verification.txt"
# Project no., "4"
# Project name, "Hobyah documentation images"
# Description, "Files that generate images used in the documentation"
# Date created, "20:00 on 6 Aug 2024 by ecb"
# Property plotted, ptot
# Property description, total pressure
# Original locator, Mainline1@3000
# Modified locator, Mainline1@3000.0
# Plot time wanted, 3000.0
# Plot time used, 3000.0
#
# X conversion key, "dist1", converting m to FT by dividing by 0.3048
# Y conversion key, "press1", converting Pa to IWG by dividing by 249.08853408
# Auto key, Total pressure along tunnel "mainline1" at 3000 sec
# Key used, "{/*0.65 Total pressure along tunnel \"mainline1\" at 3000 sec}"
# Multiplier on the X axis (applied first), 1.0
# Offset added to the X axis (applied second), 0.0
# Multiplier on the Y axis (applied first), 1.0
# Offset added to the Y axis (applied second), 0.0
# X value at which data starts being plotted, -inf
# X value at which data stops being plotted, inf
Distance,  Value,  Distance,  Value,  Plot Distance,  Plot value
 (m),   (Pa),   (ft),   (IWG),   (m),   (Pa),  Location
0.0,    10.159335052667302,    0.0,    0.04078604055457816,    0.0,    10.159335052667302,    # mainline1@0.0
36.58536585365854,    9.990015872841468,    120.03072786633378,    0.0401062855411601,    36.58536585365854,    9.990015872841468,    # mainline1@36.58536585365854
73.17073170731707,    9.820696491064155,    240.06145573266755,    0.0394265297169802,    73.17073170731707,    9.820696491064155,    # mainline1@73.17073170731707
109.7560975609756,    9.651376906898804,    360.0921835990013,    0.03874677308028583,    109.7560975609756,    9.651376906898804,    # mainline1@109.7560975609756
146.34146341463415,    9.482057120694662,    480.1229114653351,    0.0380670156324791,    146.34146341463415,    9.482057120694662,    # mainline1@146.34146341463415
182.9268292682927,    9.312737132539041,    600.153639331669,    0.03738725737391052,    182.9268292682927,    9.312737132539041,    # mainline1@182.9268292682927
219.5121951219512,    9.143416942170006,    720.1843671980026,    0.03670749830352852,    219.5121951219512,    9.143416942170006,    # mainline1@219.5121951219512
256.0975609756098,    8.974096549718524,    840.2150950643365,    0.03602773842185889,    256.0975609756098,    8.974096549718524,    # mainline1@256.0975609756098
292.6829268292683,    8.80477595499542,    960.2458229306702,    0.03534797772814217,    292.6829268292683,    8.80477595499542,    # mainline1@292.6829268292683
329.2682926829268,    8.63545515826263,    1080.276550797004,    0.03466821622342991,    329.2682926829268,    8.63545515826263,    # mainline1@329.2682926829268
365.8536585365854,    8.46613415927277,    1200.307278663338,    0.03398845390672898,    365.8536585365854,    8.46613415927277,    # mainline1@365.8536585365854
402.4390243902439,    8.296812957923976,    1320.3380065296715,    0.03330869077763042,    402.4390243902439,    8.296812957923976,    # mainline1@402.4390243902439
439.0243902439024,    8.127491554638254,    1440.3687343960053,    0.032628926837828434,    439.0243902439024,    8.127491554638254,    # mainline1@439.0243902439024
475.609756097561,    7.95816994929919,    1560.399462262339,    0.031949162086855665,    475.609756097561,    7.95816994929919,    # mainline1@475.609756097561
512.1951219512196,    7.7888481413101545,    1680.430190128673,    0.031269396522316854,    512.1951219512196,    7.7888481413101545,    # mainline1@512.1951219512196
548.780487804878,    7.6195261314860545,    1800.4609179950066,    0.030589630147483563,    548.780487804878,    7.6195261314860545,    # mainline1@548.780487804878
585.3658536585366,    7.450203919201158,    1920.4916458613404,    0.029909862959843703,    585.3658536585366,    7.450203919201158,    # mainline1@585.3658536585366
621.9512195121952,    7.280881504833815,    2040.5223737276742,    0.029230094960916216,    621.9512195121952,    7.280881504833815,    # mainline1@621.9512195121952
658.5365853658536,    7.1115588883985765,    2160.553101594008,    0.028550326150759517,    658.5365853658536,    7.1115588883985765,    # mainline1@658.5365853658536
695.1219512195122,    6.942236069764476,    2280.583829460342,    0.02787055652884782,    695.1219512195122,    6.942236069764476,    # mainline1@695.1219512195122
731.7073170731708,    6.772913048916962,    2400.614557326676,    0.027190786095122706,    731.7073170731708,    6.772913048916962,    # mainline1@731.7073170731708
768.2926829268292,    6.603589826016105,    2520.645285193009,    0.0265110148502268,    768.2926829268292,    6.603589826016105,    # mainline1@768.2926829268292
804.8780487804878,    6.434266400785418,    2640.676013059343,    0.025831242793050116,    804.8780487804878,    6.434266400785418,    # mainline1@804.8780487804878
841.4634146341464,    6.264942773457733,    2760.706740925677,    0.02515146992452738,    841.4634146341464,    6.264942773457733,    # mainline1@841.4634146341464
878.0487804878048,    6.095618943800218,    2880.7374687920105,    0.02447169624372386,    878.0487804878048,    6.095618943800218,    # mainline1@878.0487804878048
914.6341463414634,    5.92629491223488,    3000.7681966583446,    0.02379192175233376,    914.6341463414634,    5.92629491223488,    # mainline1@914.6341463414634
951.219512195122,    5.75697067832516,    3120.798924524678,    0.023112146448604452,    951.219512195122,    5.75697067832516,    # mainline1@951.219512195122
987.8048780487806,    5.58764624237665,    3240.829652391012,    0.022432370333762774,    987.8048780487806,    5.58764624237665,    # mainline1@987.8048780487806
1024.3902439024391,    5.418321604389348,    3360.860380257346,    0.021752593407808732,    1024.3902439024391,    5.418321604389348,    # mainline1@1024.3902439024391
1060.9756097560976,    5.248996764188632,    3480.8911081236797,    0.021072815670041267,    1060.9756097560976,    5.248996764188632,    # mainline1@1060.9756097560976
